,artist_name,track_name,track_id,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence
0,Lana Del Rey,Norman fucking Rockwell,3RIgHHpnFKj5Rni1shokDj,0.967,0.218,0.215,0.0948,-12.49,0.0368,76.74,0.138
1,Childish Gambino,Redbone,0wXuerDYiBnERgIpbb3JBR,0.167,0.743,0.347,0.103,-11.174,0.121,160.143,0.572
2,Daniel Caesar,RESTORE THE FEELING,1GY1aODWhIPUmLNitZMgRL,0.615,0.541,0.393,0.192,-13.19,0.262,58.387,0.564
3,Dreamville,Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,2gtFMLjQpCTGekMi4oXZxN,0.0706,0.8,0.826,0.181,-3.198,0.107,148.021,0.241
4,Ruel,Dazed & Confused,2pyjbGTpJCPjMYwCbdymiF,0.102,0.688,0.5,0.355,-7.411,0.138,127.906,0.418
5,Jon Waltz,Sportscar,7aS9BSdc8HlNvSAEdALb18,0.194,0.757,0.505,0.147,-10.244,0.0626,132.422,0.596
6,88rising,Shouldn't Couldn't Wouldn't,16ox7ZM0ozbzBOTjFecYuY,0.41,0.454,0.379,0.0837,-8.199,0.132,169.055,0.275
7,Flume,Rushing Back,2zoNNEAyPK2OGDfajardlY,0.357,0.574,0.612,0.158,-4.741,0.0781,136.046,0.368
8,Post Malone,Takin' Shots,5ffntNJnJOeFv7b7DCd0Bw,0.61,0.762,0.621,0.464,-6.24,0.0866,120.056,0.593
9,Yes,Roundabout - 2003 Remaster,0YveezON7jpiaHA8fnUHxN,0.0682,0.41,0.761,0.0758,-9.453,0.0687,132.889,0.391
10,Bruno Mars,The Lazy Song,1ExfPZEiahqhLyajhybFeS,0.332,0.738,0.804,0.279,-3.851,0.0621,174.943,0.949
11,88rising,Gold Coast,2f40gs0QFsXr6u656dI1xn,0.132,0.577,0.649,0.339,-8.447,0.0313,129.97,0.266
12,Harry Styles,Lights Up,2plLJpUcYPFrl1sW2pMG63,0.0426,0.585,0.62,0.15,-8.09,0.0327,101.939,0.281
13,Twenty One Pilots,House of Gold,36tghkPg1AO4HsAzo6YpPp,0.445,0.68,0.693,0.208,-7.234,0.0435,114.948,0.851
14,J. Cole,No Role Modelz,62vpWI1CHwFy7tMIcSStl8,0.302,0.696,0.521,0.0565,-8.465,0.332,100.0,0.458
15,The Mars Volta,Inertiatic Esp,16Elz7HJPLZPMylp13ewxv,0.00419,0.22,0.83,0.654,-3.584,0.0801,169.765,0.457
16,Kendrick Lamar,untitled 02 | 06.23.2014.,3I0FBDc1c1BLNtXWKVjmFg,0.341,0.667,0.508,0.644,-10.337,0.451,89.436,0.093
17,Kendrick Lamar,Backseat Freestyle,3aGibUHhQyBsyumYHylw0K,0.000739,0.546,0.651,0.235,-7.601,0.3,77.878,0.646
18,Daniel Caesar,SUPERPOSITION,45PxuJqJBnPXZKLxoo9Apj,0.911,0.589,0.279,0.087,-11.209,0.0408,115.656,0.333
19,Drake,Energy,79XrkTOfV1AqySNjVlygpW,0.38,0.748,0.571,0.534,-7.916,0.478,172.105,0.553
20,Kanye West,Follow God,2QpGZOhTCHHiKmpSO9FW4h,0.000248,0.529,0.9,0.0426,-3.503,0.418,180.291,0.434
21,Yuna,Does She,3Pz9konqP1wwaXkNagNNT7,0.236,0.495,0.437,0.068,-6.641,0.304,203.151,0.599
22,Daniel Caesar,LOVE AGAIN,2fhePAlCSsJplwkjqMYpVm,0.41,0.553,0.441,0.107,-6.411,0.0918,76.988,0.525
23,BROCKHAMPTON,GUMMY,42tBlHWL3VfDkUM2iWcc5p,0.198,0.687,0.672,0.175,-5.975,0.0573,80.035,0.792
24,ILLENIUM,Good Things Fall Apart (with Jon Bellion),6pooRNiLyYpxZeIA5kJ5EX,0.0128,0.643,0.594,0.118,-5.453,0.0318,144.033,0.442
25,Savage Garden,I Want You,7g1Obgz4J6OPeLhh18pS7A,0.0211,0.64,0.894,0.334,-5.475,0.0367,106.073,0.67
26,Bazzi,No Way!,0yYwS7CXKIPC4kWPvZQfsT,0.174,0.665,0.709,0.142,-4.117,0.0407,76.058,0.357
27,James Blake,Tell Them (feat. Moses Sumney & Metro Boomin),1RYibLoUBdckot7lYPxu96,0.778,0.58,0.469,0.099,-8.655,0.118,176.019,0.289
28,88rising,Indigo,349Wc5mDu52d4Uv8Eg9WZv,0.0958,0.819,0.664,0.263,-5.612,0.0828,144.988,0.71
29,Drake,Now & Forever,4zLOwx1yRJXWkHKt1XzF1p,0.124,0.555,0.481,0.101,-7.419,0.0322,107.806,0.0981
30,Jessie Reyez,Imported (with 6LACK),5zXmmhtXrhDbYnScaYpqZg,0.199,0.726,0.636,0.111,-3.615,0.0496,111.097,0.362
31,Lana Del Rey,Mariners Apartment Complex,6OG05bPAwUuV3OMvy2Vy1P,0.788,0.545,0.26,0.105,-12.668,0.0289,75.962,0.185
32,TWICE,Feel Special,0u7aRGM7YmvtsmG5NSrNsO,0.0296,0.709,0.959,0.107,-1.339,0.0603,128.983,0.644
33,NIKI,Vintage,1NCUe90ZCiWTnWn3umrwqw,0.0114,0.771,0.816,0.339,-7.104,0.0581,104.958,0.438
34,Childish Gambino,3005,2ZltjIqztEpZtafc8w0I9t,0.113,0.472,0.448,0.0914,-7.272,0.326,166.077,0.636
