,artist_name,track_name,track_id,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence
0,BROCKHAMPTON,GUMMY,42tBlHWL3VfDkUM2iWcc5p,0.198,0.687,0.672,0.175,-5.975,0.0573,80.035,0.792
1,Kevin Abstract,Peach,5JRMqkR82k2fdDEAim9SCN,0.683,0.646,0.681,0.107,-5.847,0.0764,131.896,0.421
2,BROCKHAMPTON,SWEET,2DgMxFMUQRPthW4ROhjen1,0.543,0.718,0.628,0.116,-6.007,0.223,92.107,0.722
3,Dominic Fike,Phone Numbers,3f9Mzvd3URfbbIJBX4pz9Z,0.239,0.884,0.539,0.0805,-6.389,0.208,85.008,0.776
4,BROCKHAMPTON,GOLD,7HRv1sYuwgoea1m0JRvChV,0.0716,0.808,0.647,0.205,-6.947,0.166,110.036,0.29
5,"Tyler, The Creator",See You Again (feat. Kali Uchis),7KA4W4McWYRpgf0fWsJZWB,0.371,0.558,0.559,0.109,-9.222,0.0959,78.558,0.62
6,"Tyler, The Creator",EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,0.23,0.554,0.498,0.795,-8.866,0.0685,79.635,0.413
7,BROCKHAMPTON,ZIPPER,1m4C9zlV89rXTfXStluvec,0.249,0.835,0.681,0.18,-4.357,0.111,113.989,0.687
8,BROCKHAMPTON,BLEACH,0dWOFwdXrbBUYqD9DLsoyK,0.462,0.595,0.657,0.437,-6.498,0.183,156.093,0.718
9,BROCKHAMPTON,TOKYO,1CKhx6sSkUxzomXnYZqSMh,0.0644,0.632,0.625,0.689,-5.781,0.291,139.981,0.535
10,BROCKHAMPTON,HONEY,6cgFCTrw2kWwZm7SF7r6Po,0.0794,0.74,0.787,0.122,-6.343,0.0493,109.966,0.178
11,BROCKHAMPTON,HOTTIE,5lbCjKgdT9pvYjrtmSiRvL,0.163,0.856,0.712,0.123,-6.355,0.0621,128.994,0.774
12,JUSTHIS,IndiGO,5oxmx6B0kWTuCKgBzv8NpH,0.216,0.845,0.644,0.157,-2.94,0.319,153.943,0.443
13,BROCKHAMPTON,J'OUVERT,3djWN7th03XZtmF5s3C1Lv,0.0373,0.719,0.703,0.361,-4.114,0.253,83.984,0.501
14,BIGBANG,FXXK IT,7uzib3dSSwgUwcD3z0k3bR,0.152,0.72,0.746,0.276,-3.143,0.107,90.026,0.587
15,DPR LIVE,Martini Blue,7zDu3l7DDlfSlt20YMKkWo,0.395,0.767,0.551,0.13,-6.654,0.118,139.937,0.881
16,BROCKHAMPTON,JOHNNY,0q788echtkCMpQoQes4P6b,0.442,0.612,0.858,0.205,-5.359,0.364,80.352,0.869
17,Dominic Fike,She Wants My Money,2VMJkgrhqfOOYBlZif2nvX,0.771,0.704,0.478,0.0875,-6.562,0.047,128.789,0.42
18,Dominic Fike,3 Nights,1tNJrcVe6gwLEiZCtprs1u,0.223,0.815,0.518,0.104,-6.594,0.0897,151.891,0.877
19,DPR LIVE,Jasmine,2IgbYlOlFpiSFYnsqB39lM,0.331,0.597,0.486,0.14,-5.893,0.0986,137.68,0.397
20,Aminé,Heebiejeebies - Bonus,32xx0fAv3CIeGmNaWTHvEF,0.419,0.766,0.5,0.108,-7.626,0.152,107.045,0.495
