,artist_name,track_name,track_id,acousticness,danceability,energy,liveness,loudness,speechiness,tempo,valence
0,Dominic Fike,Phone Numbers,3f9Mzvd3URfbbIJBX4pz9Z,0.239,0.884,0.539,0.0805,-6.389,0.208,85.008,0.776
1,JPEGMAFIA,Free The Frail,5r7OKhOQl2vM8SZnCXSQk1,0.515,0.553,0.509,0.154,-7.955,0.353,153.674,0.264
2,ILLENIUM,Good Things Fall Apart (with Jon Bellion),6pooRNiLyYpxZeIA5kJ5EX,0.0128,0.643,0.594,0.118,-5.453,0.0318,144.033,0.442
3,Daniel Caesar,SUPERPOSITION,45PxuJqJBnPXZKLxoo9Apj,0.911,0.589,0.279,0.087,-11.209,0.0408,115.656,0.333
4,Rich Brian,100 Degrees,2ZDpSQfBdgkooeXw6oj3Uz,0.118,0.756,0.648,0.515,-5.287,0.0731,80.979,0.657
5,BROCKHAMPTON,BOY BYE,6e7hIhOLH9zvb3zP5O5gt0,0.512,0.869,0.747,0.124,-7.143,0.151,124.932,0.784
6,BROCKHAMPTON,I BEEN BORN AGAIN,5fiR9Dy9hNXEPZOLo1kyNb,0.324,0.73,0.634,0.0712,-5.116,0.297,79.554,0.47
7,BROCKHAMPTON,NO HALO,694vvR5o19xHPhhJ5QdLN7,0.41,0.643,0.573,0.0695,-7.034,0.0709,165.192,0.47
8,Rich Brian,Rapapapa (feat. RZA),7sPoDigIbCWDS6AZmOhSRR,0.501,0.782,0.752,0.114,-4.622,0.214,126.936,0.504
9,Dreamville,Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude,2gtFMLjQpCTGekMi4oXZxN,0.0706,0.8,0.826,0.181,-3.198,0.107,148.021,0.241
10,Daniel Caesar,RESTORE THE FEELING,1GY1aODWhIPUmLNitZMgRL,0.615,0.541,0.393,0.192,-13.19,0.262,58.387,0.564
11,BROCKHAMPTON,SUGAR,6U0FIYXCQ3TGrk4tFpLrEA,0.449,0.453,0.538,0.19,-8.212,0.0638,122.973,0.516
12,Aminé,Heebiejeebies - Bonus,32xx0fAv3CIeGmNaWTHvEF,0.419,0.766,0.5,0.108,-7.626,0.152,107.045,0.495
